ts,frame,x,y,z,v
1680172393909,64,8.464562628715996e-35,1.1136377488244811e-34,8.314113127135167e-35,1.1362035669404227e-34
1680172393909,64,8.615038533001971e-35,7.411358720465094e-35,1.015837881574139e-34,1.407035284276844e-34
1680172393909,64,1.3242884027904986e-34,1.1587797165496821e-34,7.148022731119458e-35,2.44549431485336e-35
1680172393942,65,8.53983961094485e-35,1.3618983675039317e-34,1.4747539755831554e-34,1.15878430832449e-34
1680172393942,65,1.2716210901270013e-34,6.621450623530258e-35,8.38934878339075e-35,1.6026396105523362e-34
1680172393942,65,1.5198958285139861e-34,1.3618982527095616e-34,7.185677580431638e-35,1.1211595351373014e-34
1680172393977,66,9.80908925027372e-45,3.923635700109488e-44,9.293831804941484e-38,1.322447736048891e-37
1680172393977,66,1.1902104509829953e-37,8.155070531543622e-38,9.9184633980112e-38,7.457125244897974e-38
1680172393977,66,1.2342854355294652e-37,4.203895392974451e-45,1.793662034335766e-43,8.539774178153838e-35
1680172393977,66,1.1512459916223613e-34,8.652682476848982e-35,6.696588130599322e-35,1.6703456744779258e-34
1680172393977,66,8.65268132890528e-35,1.113638208001962e-34,1.1437324705041953e-34,1.1286879795235931e-34
1680172393977,66,1.2716299292935065e-34,1.4597051224164857e-34,1.5048398580963643e-34,1.5800692006615867e-34
1680172393977,66,1.0007866177256952e-34,1.0760165342627687e-34,6.470986198681303e-35,8.991178358165871e-35
1680172394009,67,9.80908925027372e-45,5.044674471569341e-44,1.2857155554554832e-37,8.632613430007019e-38
1680172394009,67,1.0212310080786257e-37,1.0359232301135014e-37,9.146916310825356e-38,8.155086226086422e-38
1680172394009,67,7.530610457405939e-38,6.685747434566621e-38,1.0579615071138764e-37,4.203895392974451e-45
1680172394009,67,1.793662034335766e-43,9.442581390234202e-35,8.502183613688968e-35,1.2039074497729786e-34
1680172394009,67,7.637019771483765e-35,1.482270710943687e-34,1.060982719158595e-34,1.1437269603744258e-34
1680172394009,67,9.63176538217892e-35,1.3167630578522022e-34,1.0910679129055826e-34,7.148020435232054e-35
1680172394009,67,1.113640044711885e-34,1.0007932757991667e-34,1.4296130410072862e-34,9.555424256138334e-35
1680172394009,67,6.847086419787485e-35,1.37694641711001e-34,1.3844722212257872e-34,1.4897997293018297e-34
1680172394009,67,1.2641071098313544e-34,1.233995398584851e-34,8.840751815459081e-35,1.1813447311050323e-34
1680172394043,68,1.8057729551859711e-34,1.1512512721633904e-34,1.5424542997902351e-34,8.276526006501403e-35
1680172394043,68,3.85609930226305e-35,7.636998534525278e-35,3.877031998271377e-34,1.401298464324817e-45
1680172394076,69,9.80908925027372e-45,3.363116314379561e-44,1.1681692592818145e-37,8.412218889096169e-38
